ticker,areas,area_count,current_price,return_5d_pct,return_1m_pct,return_1y_pct,high_52w,low_52w,drawdown_from_52w_high_pct,upside_from_52w_low_pct,market_cap,trailing_pe,forward_pe,volume,average_volume,sector,industry,beta,roe,revenue_growth,earnings_growth,debt_to_equity,recommendation,analyst_recommendation_mean,analyst_opinion_count
RYAN,C,1,31.51,3.57,-11.74,-53.23,71.14,29.27,-55.71,7.66,8317916160,38.43,13.53,2998462,2464713,Financial Services,Insurance - Specialty,0.68,22.77,15.8,,307.01,buy,2.11,17
PODD,C,1,158.35,-5.48,-19.95,-49.64,352.82,151.28,-55.12,4.67,10968060928,37.0,19.63,1314802,1200173,Healthcare,Medical Devices,1.2,23.0,33.9,159.0,77.84,buy,1.52,24
GDDY,C,1,87.03,-0.53,6.2,-53.58,190.2,79.12,-54.24,10.0,11548610560,13.79,8.08,1004723,2389238,Technology,Software - Infrastructure,0.92,398.21,6.1,6.0,1621.62,buy,2.12,15
ZTS,D,1,76.94,-31.63,-35.65,-51.29,167.69,76.67,-54.12,0.35,32255412224,12.61,10.3,14951205,4922841,Healthcare,Drug Manufacturers - Specialty & Generic,0.86,67.75,2.9,6.0,286.24,buy,2.0,17
INTU,C,1,387.74,-2.66,4.95,-40.48,801.96,350.94,-51.65,10.49,107897987072,25.26,14.64,2442630,3661270,Technology,Software - Application,1.03,23.46,17.4,48.5,36.15,strong_buy,1.47,32
SE,C,1,96.02,13.66,11.12,-37.7,196.5,78.16,-51.13,22.85,58810765312,38.1,19.58,14028462,5140861,Consumer Cyclical,Internet Retail,1.57,14.86,46.6,3.1,27.61,strong_buy,1.3,28
PAYC,C,1,137.6,4.5,15.04,-46.69,263.95,113.59,-47.87,21.14,6415888896,15.93,11.25,1242136,1684975,Technology,Software - Application,0.78,37.15,7.8,22.6,94.07,buy,2.4,16
CVLT,C,1,102.23,-0.54,14.07,-43.62,195.41,75.18,-47.68,35.98,4217051904,64.7,16.79,651112,1054863,Technology,Software - Application,0.77,42.49,13.3,-50.2,12260.49,buy,1.76,15
ACM,A,1,69.95,-17.31,-18.0,-33.7,133.44,69.95,-47.58,0.0,9043738624,14.6,10.56,3698555,1297095,Industrials,Engineering & Construction,1.0,,0.8,28.5,136.56,strong_buy,1.5,12
BFAM,C,1,69.12,-15.26,-16.57,-43.05,131.5,66.36,-47.44,4.16,3636173568,20.82,12.04,1857493,980391,Consumer Cyclical,Personal Services,1.28,15.32,7.0,-6.1,163.52,buy,2.33,9
FRSH,C,1,8.5,-7.51,7.73,-46.81,15.98,6.88,-46.81,23.55,2349690368,13.93,10.71,9538889,7896371,Technology,Software - Application,0.83,17.32,16.5,,3.81,buy,2.2,12
ACN,C,1,169.77,-5.16,-11.56,-46.65,318.9,169.77,-46.76,0.0,104482422784,13.9,11.39,5448563,6773521,Technology,Information Technology Services,1.07,24.76,8.3,4.0,25.47,buy,1.86,26
FIS,C,1,43.01,-7.72,-7.37,-43.21,80.68,42.36,-46.69,1.53,22230970368,8.34,6.3,7410066,6163721,Technology,Information Technology Services,0.83,17.22,30.1,3040.6,132.33,buy,1.96,21
SMCI,E,1,32.79,17.82,26.26,-15.69,60.71,20.53,-45.99,59.72,19720513536,17.26,10.18,33685485,37952295,Technology,Computer Hardware,1.68,17.88,122.7,326.0,120.8,hold,2.83,16
KRMN,A,1,62.48,-0.65,-28.83,55.58,115.29,40.16,-45.81,55.58,8280242688,480.62,63.87,2985544,2043475,Industrials,Aerospace & Defense,,6.0,47.4,482.9,153.47,buy,1.64,10
SAP,C,1,167.27,-2.97,0.36,-41.26,306.6,160.31,-45.44,4.34,197200019456,22.79,17.96,2896688,3267121,Technology,Software - Application,0.71,16.35,6.0,9.3,17.33,buy,1.56,12
SPOT,C,1,432.75,3.15,-14.15,-30.21,775.9,412.75,-44.23,4.85,88982085632,28.56,23.16,1638805,2182120,Communication Services,Internet Content & Information,1.55,37.99,8.2,222.4,5.94,buy,1.59,39
BSY,C,1,32.67,-1.45,-0.46,-31.72,58.45,31.3,-44.1,4.38,9925037056,37.55,20.7,4376614,2949685,Technology,Software - Application,1.01,24.26,14.5,7.5,95.08,buy,1.69,14
CMG,C,1,32.67,1.11,-5.55,-35.5,58.24,29.81,-43.9,9.59,41906917376,29.97,24.05,10102522,15907426,Consumer Cyclical,Restaurants,1.03,49.23,7.4,-17.9,217.88,buy,1.68,34
RDDT,D,1,152.35,-11.23,2.01,35.01,270.71,95.85,-43.72,58.95,29328752640,43.53,17.28,3940198,4935651,Communication Services,Internet Content & Information,1.85,26.22,69.1,675.0,0.67,buy,2.0,31
BR,C,1,149.53,-1.72,-4.98,-35.89,263.28,149.13,-43.21,0.27,17294385152,15.99,14.37,2542621,1526926,Technology,Information Technology Services,0.9,42.31,7.8,15.1,120.88,buy,2.22,8
GRND,C,1,14.09,2.18,11.12,-40.87,24.73,9.85,-43.02,43.05,2504159232,30.63,18.3,1520275,1440843,Technology,Software - Application,0.28,58.93,38.3,64.5,47077.0,buy,1.8,5
FRPT,C,1,51.27,-14.79,-24.88,-33.68,89.64,48.35,-42.8,6.04,2519550976,13.46,26.93,2078333,1692611,Consumer Defensive,Packaged Foods,1.73,17.33,13.1,,39.15,buy,1.53,16
ADBE,C,1,240.83,-5.79,0.3,-39.4,420.68,225.35,-42.75,6.87,97343488000,14.03,9.13,3167703,5592260,Technology,Software - Application,1.42,58.77,12.0,11.1,58.34,buy,2.46,34
INFY,C,1,12.05,-3.29,-13.74,-32.51,20.22,12.05,-40.41,0.0,48766443520,15.06,13.82,9304982,17769488,Technology,Information Technology Services,0.13,31.44,6.6,11.8,9.83,hold,2.62,12
NVO,C,1,47.0,4.75,23.75,-24.66,77.31,34.76,-39.21,35.19,208343990272,10.9,13.81,14181393,20519420,Healthcare,Drug Manufacturers - General,0.35,71.4,24.0,67.1,72.09,buy,2.36,12
EXLS,C,1,29.73,-4.89,-1.16,-36.56,48.18,28.51,-38.29,4.28,4542236160,18.94,11.85,2433051,2317226,Technology,Information Technology Services,0.87,28.09,13.8,7.5,66.86,buy,1.56,8
MKC,C,1,46.83,-3.42,-12.68,-35.57,75.37,46.83,-37.87,0.0,12589927424,7.68,13.99,3154276,4130076,Consumer Defensive,Packaged Foods,0.67,25.35,16.7,528.3,65.16,buy,2.13,13
DLTR,E,1,89.05,-4.95,-12.81,3.9,141.21,85.04,-36.94,4.72,17340297216,14.99,12.09,4563741,3348745,Consumer Defensive,Discount Stores,0.61,31.69,9.0,,187.9,hold,2.74,23
DG,D,1,102.98,-11.99,-13.65,20.98,155.5,85.12,-33.78,20.98,22678906880,15.03,12.91,5469349,3259003,Consumer Defensive,Discount Stores,0.28,18.99,5.9,121.9,184.66,buy,2.3,28
SGI,D,1,65.55,-12.01,-17.94,3.04,97.8,63.18,-32.97,3.74,13787828224,26.22,16.78,2731165,2851488,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1.25,17.68,12.3,,207.1,strong_buy,1.33,8
DOX,A,1,62.34,-4.74,-4.0,-29.67,91.52,62.34,-31.88,0.0,6705976320,12.06,7.69,1653593,1168663,Technology,Software - Infrastructure,0.41,16.48,4.1,9.0,27.48,none,,4
BOOT,A,1,144.8,-12.72,-7.42,7.18,207.98,132.84,-30.38,9.0,4404878848,20.28,17.01,1357303,638813,Consumer Cyclical,Apparel Retail,1.73,18.45,16.0,14.8,54.88,strong_buy,1.25,14
COR,D,1,260.93,-14.7,-18.23,-5.81,374.11,252.74,-30.25,3.24,50766815232,19.99,13.18,1795184,1554626,Healthcare,Medical Distribution,0.65,107.13,3.8,128.3,420.99,buy,1.57,12
FUTU,D,1,137.03,-12.84,-10.99,23.93,195.9,100.32,-30.05,36.59,19210852352,13.37,9.86,2381530,1501995,Financial Services,Capital Markets,0.51,33.08,53.1,79.3,43.35,strong_buy,1.21,19
NU,A,1,13.27,-6.88,-11.24,0.99,18.76,11.9,-29.26,11.51,64500154368,22.49,11.57,32850395,51238623,Financial Services,Banks - Regional,1.01,30.28,43.9,60.9,,strong_buy,1.38,21
GLBE,A,1,30.23,-4.37,-1.02,-28.69,42.39,28.64,-28.69,5.55,5077654016,77.51,16.36,2905168,1537571,Consumer Cyclical,Internet Retail,1.18,7.48,28.0,3916.6,2.52,buy,1.54,13
CEG,A,1,293.6,-8.37,0.64,1.22,402.95,246.73,-27.14,19.0,106045399040,25.51,21.63,3754893,3111751,Utilities,Utilities - Independent Power Producers,1.16,16.1,63.8,1091.0,66.43,buy,1.76,20
EXPE,D,1,221.48,-10.93,-7.8,31.83,300.66,157.7,-26.33,40.45,26582489088,19.57,9.65,1860911,2324788,Consumer Cyclical,Travel Services,1.3,71.49,14.7,,256.54,buy,2.2,33
CMCSA,E,1,24.9,-5.9,-11.23,-20.28,32.62,24.23,-23.66,2.77,88948490240,4.88,6.53,33674856,31857548,Communication Services,Telecom Services,0.69,20.92,5.3,-32.6,106.86,hold,2.73,21
STE,A,1,210.85,-1.0,-6.23,-8.1,267.97,201.85,-21.32,4.46,20694296576,26.59,17.37,1630447,804863,Healthcare,Medical Devices,0.95,11.37,7.3,52.2,26.84,none,,7
DLO,A,1,12.69,-7.37,-7.03,35.13,15.83,9.39,-19.84,35.13,3742686464,19.52,11.66,2475522,1585838,Technology,Software - Infrastructure,1.02,37.21,65.2,92.5,15.86,buy,1.7,10
ANET,D,1,142.54,-16.26,-6.24,46.57,177.73,86.25,-19.8,65.26,179482001408,48.98,32.14,12659080,8341810,Technology,Computer Hardware,1.67,31.52,35.1,25.0,,strong_buy,1.31,26
MSI,D,1,391.39,-10.64,-11.03,-4.26,486.28,362.53,-19.51,7.96,64969015296,31.54,21.16,1573137,1057266,Technology,Communication Equipment,0.94,99.29,7.4,-13.8,374.13,buy,1.64,11
LAZ,E,1,46.09,3.27,-3.45,3.39,56.41,38.7,-18.29,19.09,4536993280,18.29,10.48,1004242,1524003,Financial Services,Capital Markets,1.43,34.35,15.4,62.5,240.85,hold,2.7,8
REZI,A,1,36.68,-9.07,-4.05,70.53,44.5,19.89,-17.57,84.41,5554130432,,11.72,1430497,1228846,Industrials,Industrial Distribution,1.75,-16.93,2.0,928.2,121.05,strong_buy,1.5,2
GSK,E,1,50.9,1.03,-13.64,45.62,60.69,34.83,-16.13,46.14,102182371328,13.19,9.73,4848116,4612981,Healthcare,Drug Manufacturers - General,0.3,40.91,1.5,8.4,109.7,hold,2.88,8
CNX,E,1,35.79,-5.87,-8.91,9.65,42.61,28.11,-16.01,27.32,5063483392,4.77,7.81,1522582,2212203,Energy,Oil & Gas E&P,0.64,28.08,28.2,,54.83,hold,3.31,12
APA,D,1,37.09,-10.58,-5.45,109.29,44.09,16.04,-15.89,131.21,13110211584,8.65,9.03,5837369,8798956,Energy,Oil & Gas E&P,0.37,26.22,-11.9,32.2,61.31,hold,2.86,27
AES,E,1,14.42,0.35,1.37,20.81,17.07,9.16,-15.52,57.44,10283734016,7.51,6.04,8324948,13869813,Utilities,Utilities - Diversified,0.96,5.26,8.7,951.1,259.6,hold,2.82,9
RRC,E,1,40.9,-4.97,-2.39,1.66,47.65,32.55,-14.17,25.66,9636951040,10.82,8.81,1448005,3560518,Energy,Oil & Gas E&P,0.46,21.13,26.1,260.7,21.27,hold,2.71,23
CIG,E,1,2.36,-4.45,-12.59,35.51,2.73,1.74,-13.55,35.51,6751208960,6.74,15.73,3275597,6367490,Utilities,Utilities - Regulated Electric,0.19,17.04,6.3,-5.8,69.26,underperform,4.0,2
VIV,A,1,14.78,-8.77,-11.56,48.96,17.09,9.56,-13.52,54.63,23615528960,20.25,13.6,774860,1033961,Communication Services,Telecom Services,,9.25,7.4,19.6,28.48,hold,2.86,7
TAK,A,1,16.42,-0.79,-7.86,19.68,18.8,13.23,-12.66,24.11,51873947648,74.64,30.98,4484599,2888523,Healthcare,Drug Manufacturers - Specialty & Generic,0.1,1.5,4.2,330.2,70.93,strong_buy,1.0,3
FAST,E,1,43.32,-2.28,-4.91,10.61,49.59,38.73,-12.64,11.86,49732878336,38.34,31.68,4407667,7571890,Industrials,Industrial Distribution,0.74,33.84,12.4,13.8,11.17,hold,2.82,12
HTHT,A,1,48.54,-0.68,-5.62,34.2,54.63,29.07,-11.15,66.96,14927206400,20.66,15.54,2024188,1819006,Consumer Cyclical,Lodging,0.14,40.55,8.3,2216.9,278.35,strong_buy,1.24,16
TKC,A,1,6.37,-0.78,-0.62,2.68,7.15,5.43,-10.91,17.31,5545575424,14.16,12.02,1028988,1201840,Communication Services,Telecom Services,0.79,,34.5,42.0,61.18,none,,2
CME,E,1,285.75,-0.37,-4.94,10.56,318.84,251.63,-10.38,13.56,103544184832,24.38,22.19,3045158,2343473,Financial Services,Financial Data & Stock Exchanges,0.26,15.92,14.4,21.3,14.06,hold,2.69,15
CAKE,E,1,60.75,-0.62,3.14,15.23,67.5,42.94,-10.0,41.49,3018385920,17.82,13.61,651469,1339261,Consumer Cyclical,Restaurants,1.04,41.33,5.6,52.2,466.38,hold,2.62,18
AM,E,1,21.36,-1.93,-0.22,21.6,23.36,16.29,-8.55,31.1,10145572864,24.84,14.28,1701575,2773930,Energy,Oil & Gas Midstream,0.66,20.41,8.6,-0.3,191.72,hold,3.12,7
PBR,A,1,20.5,-5.83,-6.14,77.52,22.03,10.82,-6.95,89.39,132109508608,6.19,5.39,21396670,28668285,Energy,Oil & Gas Integrated,-0.06,25.6,0.4,-7.2,83.27,buy,1.87,14
NATL,E,1,44.94,2.07,1.08,61.71,48.13,25.57,-6.63,75.75,3315664896,20.06,8.46,2515868,1199578,Technology,Software - Application,0.61,50.74,6.5,52.6,743.18,hold,3.0,3
VIK,A,1,80.6,-1.36,3.06,74.46,86.09,43.08,-6.38,87.09,35953332224,31.36,19.46,2541171,2817596,Consumer Cyclical,Travel Services,1.57,254.46,27.8,226.6,511.97,buy,1.68,19
EIX,E,1,71.27,3.48,-1.55,34.4,75.82,45.61,-6.0,56.26,27424264192,7.75,10.94,2669706,3229256,Utilities,Utilities - Regulated Electric,0.68,18.86,7.7,-63.2,226.1,hold,2.65,14
TIGO,A,1,80.13,-4.37,-3.59,156.18,84.88,31.28,-5.6,156.18,13425094656,10.89,16.06,2704792,1430078,Communication Services,Telecom Services,,37.44,44.5,-43.0,375.07,buy,2.25,8
CF,E,1,130.39,1.84,7.16,52.08,137.6,75.69,-5.24,72.28,20031721472,11.75,13.34,3567429,4874881,Basic Materials,Agricultural Inputs,0.42,27.3,19.4,115.1,43.85,hold,3.0,19
ABEV,E,1,3.26,-3.26,3.16,31.94,3.43,2.11,-4.96,54.5,50766983168,16.3,14.88,18494528,25462495,Consumer Defensive,Beverages - Brewers,0.23,17.25,-0.1,2.4,3.42,hold,3.09,10
TSEM,A,1,220.83,-2.08,5.42,450.84,228.88,38.09,-3.52,479.76,26276345856,113.83,45.34,2312749,2793975,Technology,Semiconductors,0.85,7.89,13.7,42.6,5.56,strong_buy,1.4,6
JHG,E,1,51.7,0.19,0.17,37.73,53.21,35.33,-2.84,46.34,7965709312,10.24,10.94,12588391,3248570,Financial Services,Asset Management,1.36,16.21,11.0,-23.2,6.91,buy,2.5,6
FTNT,E,1,113.87,26.63,44.62,8.4,115.44,74.39,-1.36,53.07,83426672640,44.14,33.22,4907891,6217808,Technology,Software - Infrastructure,0.92,132.39,20.1,28.6,57.31,hold,2.7,36
TRMD,A,1,34.57,-0.86,13.9,119.9,34.87,14.87,-0.86,132.44,3563556096,12.13,9.63,994645,898078,Energy,Oil & Gas Midstream,0.04,13.37,15.5,10.4,45.54,none,,2
AFL,E,1,116.16,1.49,3.58,12.99,116.85,96.54,-0.59,20.33,59123687424,13.28,15.21,2161610,2299970,Financial Services,Insurance - Life,0.62,16.47,27.9,3860.0,48.28,hold,3.07,14
ECO,A,1,56.65,-0.49,13.98,142.05,56.93,21.1,-0.49,168.52,2211879936,15.03,13.3,314842,504670,Industrials,Marine Shipping,,,48.9,330.4,105.58,none,,1
APLS,E,1,41.06,0.22,0.54,137.62,41.12,16.36,-0.15,150.98,5256553984,38.37,-188.12,6331639,5379040,Healthcare,Biotechnology,-0.25,46.02,60.9,,114.66,hold,2.9,15
MASI,E,1,178.55,-0.02,0.04,10.52,178.73,127.4,-0.1,40.15,9350500352,44.2,27.05,686014,1702000,Healthcare,Medical Devices,1.13,24.99,8.5,,61.59,hold,3.0,4
EBAY,E,1,110.4,4.88,12.48,61.85,110.4,68.19,0.0,61.9,49017602048,25.5,16.34,6961361,6057818,Consumer Cyclical,Internet Retail,1.39,42.88,19.5,7.1,163.33,hold,2.65,27
BHP,E,1,88.32,11.46,13.09,77.25,88.32,45.25,0.0,95.19,224363282432,21.92,16.6,3339628,3352241,Basic Materials,Other Industrial Metals & Mining,0.8,24.71,10.8,27.5,52.64,hold,2.75,7
WES,E,1,44.53,4.12,10.85,23.8,44.53,34.09,0.0,30.64,17535082496,14.65,12.15,1529451,1611818,Energy,Oil & Gas Midstream,,36.69,22.5,7.6,246.36,hold,2.71,12
