sample_id,sample_reason_code,sample_reason_note,ticker,name,market,exchange,sector,sub_industry,market_cap_usd_b,turnaround_flag,source,role,risk_level,risk_flags,action,review_reason,adr_flag,foreign_ownership_pct
S3V01-018,HEALTHCARE_LARGE,market=US; sector=Health Care; large_cap_reference_sample,MRK,Merck & Co. Inc.,US,NYSE,Health Care,Pharmaceuticals,278.0,N,SP500,CORE,LOW,NONE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,
S3V01-019,FINANCIALS_LARGE,market=US; sector=Financials; large_cap_reference_sample,BRK.B,Berkshire Hathaway Inc.,US,NYSE,Financials,Financial Services,1050.0,N,SP500,CORE,LOW,NONE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,
S3V01-020,FINANCIALS_LARGE,market=US; sector=Financials; large_cap_reference_sample,JPM,JPMorgan Chase & Co.,US,NYSE,Financials,Banks,805.0,N,SP500,CORE,LOW,NONE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,
S3V01-021,FINANCIALS_LARGE,market=US; sector=Financials; large_cap_reference_sample,V,Visa Inc.,US,NYSE,Financials,Financial Services,626.0,N,SP500,CORE,LOW,NONE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,
S3V01-022,TURNAROUND,turnaround_flag=Y; existing_audit_role_retained,DIS,The Walt Disney Company,US,NYSE,Communication Services,Entertainment,180.0,Y,SP500,HIGH_RISK_REVIEW,HIGH,TURNAROUND_RISK,REVIEW_BEFORE_SCORING,TURNAROUND_IN_PROGRESS; METADATA_ONLY_AUDIT; turnaround flag prevents core classification,N,
S3V01-023,TURNAROUND,turnaround_flag=Y; existing_audit_role_retained,BA,The Boeing Company,US,NYSE,Industrials,Aerospace & Defense,173.0,Y,SP500,HIGH_RISK_REVIEW,HIGH,TURNAROUND_RISK,REVIEW_BEFORE_SCORING,TURNAROUND_IN_PROGRESS; METADATA_ONLY_AUDIT; turnaround flag prevents core classification,N,
S3V01-024,TURNAROUND,turnaround_flag=Y; existing_audit_role_retained,F,Ford Motor Company,US,NYSE,Consumer Discretionary,Automobiles,51.0,Y,SP500,HIGH_RISK_REVIEW,HIGH,TURNAROUND_RISK,REVIEW_BEFORE_SCORING,TURNAROUND_IN_PROGRESS; METADATA_ONLY_AUDIT; turnaround flag prevents core classification,N,
S3V01-025,KOSDAQ_THEME,source_contains=KOSDAQ_THEME; theme_slot_sample,095340.KQ,ISC,KR,KOSDAQ,Information Technology,Semiconductor Equipment,3.6,N,JUDAL_2026_05_26; KOSDAQ_THEME_SEMICON_EQUIPMENT_TOP_EX_TOP15,DISCOVERY_ONLY,HIGH,KOSDAQ_THEME_RISK;SMALL_CAP_RISK;SECTOR_VOLATILITY,DISCOVERY_ONLY,KOSDAQ_THEME_SLOT; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; theme-slot row retained for discovery monitoring only,N,
S3V01-026,KOSDAQ_THEME,source_contains=KOSDAQ_THEME; theme_slot_sample,178320.KQ,서진시스템,KR,KOSDAQ,Industrials,Electrical Equipment,3.6,N,JUDAL_2026_05_26; KOSDAQ_THEME_BATTERY_TOP_EX_TOP15,DISCOVERY_ONLY,HIGH,KOSDAQ_THEME_RISK;SMALL_CAP_RISK;SECTOR_VOLATILITY,DISCOVERY_ONLY,KOSDAQ_THEME_SLOT; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; theme-slot row retained for discovery monitoring only,N,
S3V01-027,KOSDAQ_THEME,source_contains=KOSDAQ_THEME; theme_slot_sample,108490.KQ,로보티즈,KR,KOSDAQ,Industrials,Machinery,3.3,N,JUDAL_2026_05_26; KOSDAQ_THEME_ROBOTICS_TOP,DISCOVERY_ONLY,HIGH,KOSDAQ_THEME_RISK;SMALL_CAP_RISK;SECTOR_VOLATILITY,DISCOVERY_ONLY,KOSDAQ_THEME_SLOT; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; theme-slot row retained for discovery monitoring only,N,
S3V01-028,DISCOVERY_ONLY_GENERAL,audit_role=DISCOVERY_ONLY; role_distribution_sample,032640.KS,LG유플러스,KR,KOSPI,Communication Services,Wireless Telecommunication,4.8,N,KOSPI_TELECOM; JUDAL_2026_05_26,DISCOVERY_ONLY,HIGH,SMALL_CAP_RISK,DISCOVERY_ONLY,SMALL_CAP_KOREA; METADATA_ONLY_AUDIT; market cap metadata below core threshold,N,25
S3V01-029,CORE_NORMAL,audit_role=CORE; risk_flags=NONE; normal_reference_sample,GOOGL,Alphabet Inc. Class A,US,NASDAQ,Communication Services,Interactive Media & Services,4810.0,N,SP500+NDX,CORE,LOW,NONE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,
S3V01-030,CORE_NORMAL,audit_role=CORE; risk_flags=NONE; normal_reference_sample,WMT,Walmart Inc.,US,NYSE,Consumer Staples,Consumer Staples Distribution,1060.0,N,SP500,CORE,LOW,NONE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,
S3V01-031,CORE_NORMAL,audit_role=CORE; risk_flags=NONE; normal_reference_sample,XOM,Exxon Mobil Corporation,US,NYSE,Energy,Oil Gas & Consumable Fuels,665.0,N,SP500,CORE,LOW,NONE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,
S3V01-032,CORE_BOUNDARY,audit_role=CORE; boundary_by_cap_or_risk_flag,COR,Cencora Inc.,US,NYSE,Health Care,Health Care Providers,50.0,N,SP500,CORE,LOW,HEALTHCARE_EVENT_RISK,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,
S3V01-033,CORE_BOUNDARY,audit_role=CORE; boundary_by_cap_or_risk_flag,E,Eni S.p.A.,US,NYSE,Energy,Oil Gas & Consumable Fuels,50.0,N,ADR_50B+,CORE,LOW,ADR_FOREIGN_LISTING,KEEP_CORE,ADR_LISTING_RISK; METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,Y,
S3V01-034,CORE_BOUNDARY,audit_role=CORE; boundary_by_cap_or_risk_flag,EA,Electronic Arts Inc.,US,NASDAQ,Communication Services,Entertainment,50.0,N,SP500+NDX,CORE,LOW,NONE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,
S3V01-035,CORE_BOUNDARY,audit_role=CORE; boundary_by_cap_or_risk_flag,EBAY,eBay Inc.,US,NASDAQ,Consumer Discretionary,Broadline Retail,50.0,N,SP500,CORE,LOW,NONE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,
S3V01-036,CORE_BOUNDARY,audit_role=CORE; boundary_by_cap_or_risk_flag,ETR,Entergy Corporation,US,NYSE,Utilities,Electric Utilities,50.0,N,SP500,CORE,LOW,NONE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,N,
S3V01-037,EXTENDED_BOUNDARY,audit_role=EXTENDED; boundary_distribution_sample,ABBV,AbbVie Inc.,US,NYSE,Health Care,Biotechnology,369.0,N,SP500,EXTENDED,MEDIUM,BIOTECH_RISK;HEALTHCARE_EVENT_RISK,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,
S3V01-038,EXTENDED_BOUNDARY,audit_role=EXTENDED; boundary_distribution_sample,032830.KS,삼성생명,KR,KOSPI,Financials,Insurance,49.7,N,KOSPI_TOP; JUDAL_2026_05_26,EXTENDED,MEDIUM,NONE,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,30
S3V01-039,EXTENDED_BOUNDARY,audit_role=EXTENDED; boundary_distribution_sample,COIN,Coinbase Global Inc.,US,NASDAQ,Financials,Capital Markets,49.0,N,SP500,EXTENDED,MEDIUM,NONE,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,
S3V01-040,EXTENDED_BOUNDARY,audit_role=EXTENDED; boundary_distribution_sample,XEL,Xcel Energy Inc.,US,NASDAQ,Utilities,Electric Utilities,48.0,N,SP500+NDX,EXTENDED,MEDIUM,NONE,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,
S3V01-041,EXTENDED_BOUNDARY,audit_role=EXTENDED; boundary_distribution_sample,ROK,Rockwell Automation Inc.,US,NYSE,Industrials,Electrical Equipment,48.0,N,SP500,EXTENDED,MEDIUM,NONE,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,
S3V01-042,ADR_KR,korea_related_adr_or_us_listing_sample,CPNG,Coupang Inc.,US,NYSE,Consumer Discretionary,Broadline Retail,38,N,US_ADR_KR_COMPANY,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,KEEP_EXTENDED,ADR_LISTING_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,Y,
S3V01-043,EXTENDED_BOUNDARY,audit_role=EXTENDED; target_size_fill_sample,FER,Ferrovial N.V.,US,NASDAQ,Industrials,Construction & Engineering,48.0,N,NDX_ADR,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,KEEP_EXTENDED,ADR_LISTING_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,Y,
S3V01-044,EXTENDED_BOUNDARY,audit_role=EXTENDED; target_size_fill_sample,EW,Edwards Lifesciences Corporation,US,NYSE,Health Care,Health Care Equipment,47.0,N,SP500,EXTENDED,MEDIUM,HEALTHCARE_EVENT_RISK,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,
S3V01-045,EXTENDED_BOUNDARY,audit_role=EXTENDED; target_size_fill_sample,CAH,Cardinal Health Inc.,US,NYSE,Health Care,Health Care Providers,46.0,N,SP500,EXTENDED,MEDIUM,HEALTHCARE_EVENT_RISK,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,
S3V01-046,EXTENDED_BOUNDARY,audit_role=EXTENDED; target_size_fill_sample,IDXX,IDEXX Laboratories Inc.,US,NASDAQ,Health Care,Health Care Equipment,43.0,N,SP500+NDX,EXTENDED,MEDIUM,HEALTHCARE_EVENT_RISK,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,
S3V01-047,EXTENDED_BOUNDARY,audit_role=EXTENDED; target_size_fill_sample,105560.KS,KB금융,KR,KOSPI,Financials,Banks,41.9,N,KOSPI_TOP_FOREIGN_HIGH; JUDAL_2026_05_26; holding_classification_v0_2,EXTENDED,MEDIUM,HOLDING_COMPANY,KEEP_EXTENDED,HOLDING_COMPANY_NATURE; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,75
S3V01-048,EXTENDED_BOUNDARY,audit_role=EXTENDED; target_size_fill_sample,CCEP,Coca-Cola Europacific Partners PLC,US,NASDAQ,Consumer Staples,Beverages,40.0,N,NDX_ADR,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,KEEP_EXTENDED,ADR_LISTING_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,Y,
S3V01-049,EXTENDED_BOUNDARY,audit_role=EXTENDED; target_size_fill_sample,BDX,Becton Dickinson and Company,US,NYSE,Health Care,Health Care Equipment,39.0,N,SP500,EXTENDED,MEDIUM,HEALTHCARE_EVENT_RISK,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,
S3V01-050,EXTENDED_BOUNDARY,audit_role=EXTENDED; target_size_fill_sample,HUM,Humana Inc.,US,NYSE,Health Care,Health Care Providers,36.0,N,SP500,EXTENDED,MEDIUM,HEALTHCARE_EVENT_RISK,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,N,
S3V01-051,EXTENDED_BOUNDARY,audit_role=EXTENDED; target_size_fill_sample,TRI,Thomson Reuters Corporation,US,NASDAQ,Industrials,Professional Services,35.0,N,NDX_ADR,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,KEEP_EXTENDED,ADR_LISTING_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,Y,
S3V01-052,EXTENDED_BOUNDARY,audit_role=EXTENDED; target_size_fill_sample,ABEV,Ambev S.A.,US,NYSE,Consumer Staples,Beverages,35.0,N,ADR,EXTENDED,MEDIUM,ADR_FOREIGN_LISTING,KEEP_EXTENDED,ADR_LISTING_RISK; MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,Y,
